Rank,Name,Industry,Revenue (USD million),Revenue growth,Employees,Headquarters
151,PNC Financial Services,Financial services,21624,8.2%,50968,"Pittsburgh, Pennsylvania"
152,DuPont,Chemical industry,21512,75.0%,35000,"Wilmington, Delaware"
153,Southern Company,Electric Utility,21419,8.8%,27943,"Atlanta, Georgia"
154,AutoNation,Auto Retailer,21336,0.4%,25000,"Fort Lauderdale, Florida"
155,DXC Technology,Information Technology,21184,13.7%,130000,"Tysons, Virginia"
156,McDonald's,Food Chain,21077,0.2%,205000,"Chicago, Illinois"
157,Marriott International,Hospitality,20972,1.0%,174000,"Bethesda, Maryland"
158,ManpowerGroup,Human Resources,20864,5.1%,28000,"Milwaukee, Wisconsin"
159,Bank of New York Mellon,Financial services,20822,8.4%,48400,"New York City, New York"
160,Hartford Financial Services,Financial services,20740,4.6%,19500,"Hartford, Connecticut"
161,Danaher Corporation,Life Science,20521,3.2%,60000,"Washington, D.C."
162,Whirlpool Corporation,Commercial appliance,20419,2.9%,77000,"Benton Charter Township, Michigan"
163,AECOM,Construction,20173,0.1%,86000,"Los Angeles, California"
164,Netflix,Technology,20156,27.6%,8600,"Los Gatos, California"
165,Kohl's,Retail,19974,1.3%,79500,"Menomonee Falls, Wisconsin"
166,Lear Corporation,Automotive,19810,6.3%,164100,"Southfield, Michigan"
167,Altria,Tobacco,19796,0.9%,7300,"Richmond, Virginia"
168,Performance Food Group,Food Distribution,19744,12.1%,18000,"Richmond, Virginia"
169,Avnet,Electronic distribution,19519,2.5%,15500,"Phoenix, Arizona"
170,Synchrony Financial,Finance,19461,6.6%,16500,"Stamford, Connecticut"
171,Genuine Parts Company,Auto parts,19392,3.5%,55000,"Atlanta, Georgia"
172,NextEra Energy,Electric power,19204,14.8%,14800,"Juno Beach, Florida"
173,CarMax,Retailer,19146,6.5%,25946,"Richmond, Virginia"
174,Tenet Healthcare,Healthcare,18479,0.9%,101104,"Dallas, Texas"
175,Kimberly-Clark,Consumer health,18450,0.2%,40000,"Irving, Texas"
176,Emerson Electric,Electric equipment,18372,5.5%,88000,"Ferguson, Missouri"
177,WestRock,Consumer packaging,18289,12.3%,51100,"Atlanta, Georgia"
178,CDW,Information technology,18032,11.0%,9900,"Lincolnshire, Illinois"
179,JLL,Real estate,17983,10.2%,93400,"Chicago, Illinois"
180,Sherwin-Williams,Paints and Coatings,17901,2.1%,61111,"Cleveland, Ohio"
181,Fluor Corporation,Construction,17817,7.0%,53349,"Irving, Texas"
182,PayPal,Financial technology,17772,15.0%,23200,"San Jose, California"
183,D. R. Horton,Construction,17593,9.5%,8916,"Arlington, Texas"
184,HollyFrontier,Petroleum industry,17487,1.3%,4074,"Dallas, Texas"
185,Tenneco,Auto parts,17450,48.3%,78000,"Lake Forest, Illinois"
186,EOG Resources,Petroleum industry,17380,0.6%,2900,"Houston, Texas"
187,"Becton, Dickinson and Company",Medical devices,17290,8.2%,70093,"Franklin Lakes, New Jersey"
188,Lincoln National Corporation,Insurance,17258,5.1%,11357,"Radnor, Pennsylvania"
189,Pacific Gas and Electric Company,Electric Utility,17129,2.2%,23000,"San Francisco, California"
190,Salesforce,Technology,17098,28.9%,17098,"San Francisco, California"
191,Mastercard,Financial Technology,16883,12.9%,18600,"New York City, New York"
192,General Mills,Food processing,16865,7.1%,40000,"Minneapolis, Minnesota"
193,Molina Healthcare,Healthcare,16829,10.9%,10000,"Long Beach, California"
194,Cognizant,Information technology,16783,4.1%,292500,"Teaneck, New Jersey"
195,Marsh & McLennan Companies,Insurance,16652,11.4%,76000,"New York City, New York"
196,XPO Logistics,Logistics,16648,3.7%,100000,"Greenwich, Connecticut"
197,Dominion Energy,Electric utility,16572,24.0%,19100,"Richmond, Virginia"
198,Western Digital,Computer hardware,16569,19.8%,61800,"San Diego, California"
199,Gap Inc.,Retail,16383,1.2%,129000,"San Francisco, California"
200,Aramark,Food service,16227,2.8%,233400,"Philadelphia, Pennsylvania"
201,Principal Financial Group,Financials,16222,13.9%,17601,"Des Moines, Iowa,"
202,Ross Stores,Retail,16039,7.0%,92500,"Dublin, California"
203,Colgate-Palmolive,Consumer goods,15693,1.0%,34300,"New York City, New York"
204,American Electric Power,Electric utility,15561,3.9%,17408,"Columbus, Ohio"
205,Nordstrom,Retail,15524,2.1%,75000,"Seattle, Washington"
206,Jacobs Engineering Group,Construction,15464,3.2%,50000,"Dallas, Texas"
207,Waste Management,Waste service,15455,3.6%,44900,"Houston, Texas"
208,C. H. Robinson,Logistics,15310,7.9%,15427,"Eden Prairie, Minnesota"
209,PPG Industries,Chemical industry,15146,1.5%,47600,"Pittsburgh, Pennsylvania"
210,Booking Holdings,Travel Technology,15066,3.7%,26400,"Norwalk, Connecticut"
211,Omnicom Group,Advertising,14954,2.2%,70000,"New York City, New York"
212,Loews Corporation,Insurance,14931,6.5%,18605,"New York City, New York"
213,Ecolab,Chemical industry,14906,1.6%,50200,"St. Paul, Minnesota"
214,Stryker Corporation,Medical devices,14884,9.4%,40000,"Kalamazoo, Michigan"
215,Estée Lauder Companies,Cosmetics,14863,8.6%,48000,"New York City, New York"
216,Goodyear Tire and Rubber Company,Manufacturing,14745,4.7%,63000,"Akron, Ohio"
217,Truist Financial,Financials,14664,12.8%,59000,"Charlotte, North Carolina"
218,Applied Materials,Semiconductor,14608,15.3%,22000,"Santa Clara, California"
219,BlackRock,Financials,14539,2.4%,16200,"New York City, New York"
220,Stanley Black & Decker,Hardware,14442,3.3%,59438,"New Britain, Connecticut"
221,Freeport-McMoRan,Metals and Mining,14402,22.7%,27500,"Phoenix, Arizona"
222,Texas Instruments,Semiconductor,14383,8.9%,29768,"Dallas, Texas"
223,Biogen,Biotechnology,14378,6.9%,7400,"Cambridge, Massachusetts"
224,Parker Hannifin,Manufacturing,14320,0.1%,55610,"Cleveland, Ohio"
225,Reinsurance Group of America,Insurance,14300,11.1%,3188,"Chesterfield, Missouri"
226,Howmet Aerospace,Aerospace and defense,14192,1.3%,41700,"Pittsburgh, Pennsylvania"
227,ADP,Business services,14175,6.4%,58000,"Minneapolis, Minnesota"
228,Uber,Technology,14147,25.5%,26900,"San Francisco, California"
229,Illinois Tool Works,Manufacturing,14109,4.5%,45000,"Glenview, Illinois"
230,DaVita Inc.,Healthcare,14102,13.9%,65000,"Denver, Colorado"
231,Discover Financial,Financial Service,13989,8.9%,17200,"Chicago, Illinois"
232,Land O'Lakes,Agriculture,13888,7.0%,8000,"Arden Hills, Minnesota"
233,VF Corporation,Apparel,13871,7.8%,75000,"Denver, Colorado"
234,Corteva,Food production,13846,6.9%,21000,"Wilmington, Delaware"
235,Las Vegas Sands,Hospitality,13739,0.1%,50000,"Paradise, Nevada"
236,Textron,Aerospace and defense,13630,2.4%,35000,"Providence, Rhode Island"
237,Kellogg's,Food processing,13578,0.2%,31000,"Battle Creek, Michigan"
238,Guardian Life Insurance Company of America,Insurance,13477,3.5%,9032,"New York City, New York"
239,Qurate Retail Group,Media,13458,4.3%,25314,"Englewood, Colorado"
240,Core-Mark,Food distribution,13329,3.3%,8555,"Westlake, Texas"
241,Community Health Systems,Healthcare,13210,6.7%,71500,"Franklin, Tennessee"
242,Kinder Morgan,Petroleum industry,13209,6.6%,11086,"Houston, Texas"
243,BJ's Wholesale Club,Retail,13191,1.4%,27231,"Westborough, Massachusetts"
244,State Street Corporation,Financials,13131,1.2%,39103,"Boston, Massachusetts"
245,Ameriprise Financial,Finance,13103,1.4%,12500,"Minneapolis, Minnesota"
246,Global Partners,Energy supply,13082,3.2%,3860,"Waltham, Massachusetts"
247,U.S. Steel,Steel,12937,8.8%,27500,"Pittsburgh, Pennsylvania"
248,L Brands,Retail,12914,2.4%,59950,"Columbus, Ohio"
249,MGM Resorts International,Hospitality,12900,9.7%,72000,"Las Vegas, Nevada"
250,L3Harris Technologies,Aerospace and defense,12856,108.0%,50000,"Melbourne, Florida"
251,Dish Network,Telecommunications,12808,6.0%,16000,"Englewood, Colorado"
252,Lithia Motors,Auto retailer,12673,7.2%,14320,"Medford, Oregon"
253,DTE Energy,Energy utilities,12669,10.9%,10700,"Detroit, Michigan"
254,American Family Insurance,Insurance,12633,22.2%,13531,"Madison, Wisconsin"
255,Farmers Insurance Group,Insurance,12593,8.1%,10980,"San Diego, California"
256,Consolidated Edison,Energy utilities,12574,1.9%,14890,"New York City, New York"
257,LKQ Corporation,Auto parts,12506,5.3%,51000,"Chicago, Illinois"
258,Sempra Energy,Energy utilities,12443,6.5%,13969,"San Diego, California"
259,Edison International,Energy utilities,12347,2.4%,12937,"Rosemead, California"
260,CenterPoint Energy,Energy utilities,12301,16.2%,14262,"Houston, Texas"
261,Quanta Services,Engineering,12112,8.4%,40300,"Houston, Texas"
262,Murphy USA,Petroleum industry,12101,3.4%,7250,"El Dorado, Arkansas"
263,Expedia Group,Technology,12067,7.5%,25400,"Seattle, Washington"
264,Group 1 Automotive,Auto retailer,12044,3.8%,15296,"Houston, Texas"
265,Bed Bath & Beyond,Retail,12029,2.6%,62000,"Springfield, New Jersey"
266,Unum,Insurance,11999,3.5%,10300,"Chattanooga, Tennessee"
267,CSX Corporation,Rail transportation,11937,2.6%,20908,"Jacksonville, Florida"
268,AutoZone,Auto retailer,11864,5.7%,75840,"Memphis, Tennessee"
269,Pacific Life,Insurance,11847,10.7%,3815,"San Diego, California"
270,Vistra Energy,Energy,11809,29.1%,5475,"Irving, Texas"
271,Charles Schwab Corporation,Financials,11785,7.2%,19700,"Westlake, Texas"
272,Crown Holdings,Packaging,11665,4.6%,33043,"Philadelphia, Pennsylvania"
273,Ally Financial,Financials,11618,11.0%,8700,"Detroit, Michigan"
274,LabCorp,Healthcare,11555,2.0%,65000,"Burlington, North Carolina"
275,Live Nation Entertainment,Entertainment,11548,7.0%,18200,"Beverly Hills, California"
276,Xcel Energy,Energy utilities,11529,0.1%,11295,"Minneapolis, Minnesota"
277,Corning Inc.,Manufacturing,11503,1.9%,49500,"Corning, New York"
278,W. W. Grainger,Industrial supply,11486,2.4%,24550,"Chicago, Illinois"
279,Ball Corporation,Packaging,11474,1.4%,18300,"Broomfield, Colorado"
280,Fox Corporation,Media,11389,...,7700,"New York City, New York"
281,Universal Health Services,Healthcare,11378,5.6%,79050,"King of Prussia, Pennsylvania"
282,Baxter International,Medical devices,11362,2.4%,50000,"Chicago, Illinois"
283,Norfolk Southern Corp,Transportation,11296,1.4%,24587,"Norfolk, Virginia"
284,Navistar International,Automotive,11251,9.8%,12300,"Lisle, Illinois"
285,Adobe Inc.,Technology,11171,23.7%,22634,"San Jose, California"
286,J.C. Penney,Retail,11167,7.1%,90000,"Plano, Texas"
287,"Discovery, Inc.",Media,11144,5.6%,9200,"Silver Spring, Maryland"
288,Keurig Dr Pepper,Food processing,11120,49.4%,25500,"Burlington, Massachusetts"
289,Leidos,Defense engineering,11094,8.8%,34000,"Reston, Virginia"
290,IQVIA,Healthcare,11088,6.5%,67000,"Durham, North Carolina"
291,Reliance Steel & Aluminum Co.,Steel,10974,4.9%,15300,"Los Angeles, California"
292,Nvidia,Semiconductors,10918,6.8%,13775,"Santa Clara, California"
293,Entergy Corp,Energy Utility,10879,1.2%,13635,"New Orleans, Louisiana"
294,FirstEnergy,Electric Utility,10850,8.5%,12316,"Akron, Ohio"
295,eBay,Retail,10800,0.5%,13300,"San Jose, California"
296,Boston Scientific,Medical devices,10735,9.3%,36000,"Marlborough, Massachusetts"
297,Office Depot,Office retail,10647,4.3%,40000,"Boca Raton, Florida"
298,Molson Coors Beverage Company,Beverages,10579,1.8%,17700,"Chicago, Illinois"
299,Steel Dynamics,Steel manufacturing,10465,11.5%,8385,"Fort Wayne, Indiana"
300,Mutual of Omaha,Financial Service,10456,11.9%,6072,"Omaha, Nebraska"
301,Sonic Automotive,Auto retailer,10454,5.1%,9300,"Charlotte, North Carolina"
302,Alcoa,Manufacturing,10433,22.2%,13800,"Pittsburgh, Pennsylvania"
303,FIS,Financial Technology,10333,22.7%,55000,"Jacksonville, Florida"
304,Henry Schein,Healthcare,10305,21.9%,19000,"New York City, New York"
305,Republic Services,Waste management,10299,2.6%,36000,"Phoenix, Arizona"
306,Liberty Media,Media,10292,28.0%,6753,"Englewood, Colorado"
307,Kiewit Corporation,Construction,10283,13.9%,23000,"Omaha, Nebraska"
308,Interpublic Group of Companies,Advertising,10221,5.2%,54300,"New York City, New York"
309,PulteGroup,Construction,10213,0.2%,5245,"Atlanta, Georgia"
310,AES Corporation,Electric utility,10189,5.1%,8000,"Arlington, Virginia"
311,Fiserv,Financials,10187,74.9%,44000,"Brookfield, Wisconsin,"
312,BorgWarner,Automotive,10168,3.4%,29000,"Auburn Hills, Michigan"
313,Oneok,Petroleum industry,10164,19.3%,2882,"Tulsa, Oklahoma"
314,O'Reilly Auto Parts,Auto retailer,10150,6.4%,67663,"Springfield, Missouri"
315,Assurant,Insurance,10087,25.2%,13900,"New York City, New York"
316,Newell Brands,Consumer goods,10083,22.6%,30000,"Atlanta, Georgia"
317,Public Service Enterprise Group,Utilities,10076,3.9%,12992,"Newark, New Jersey"
318,News Corp,Media,10074,11.6%,28000,"New York City, New York"
319,Calpine,Energy,10072,5.9%,2256,"Houston, Texas"
320,Auto-Owners Insurance,Insurance,10007,25.1%,6141,"Lansing, Michigan"
321,Mohawk Industries,Manufacturing,9971,0.1%,41800,"Calhoun, Georgia"
322,Campbell Soup Company,Food processing,9909,14.1%,19000,"Camden, New Jersey"
323,PVH,Apparel,9909,2.6%,30750,"New York City, New York"
324,NRG Energy,Energy,9871,8.6%,4577,"Princeton, New Jersey"
325,Fifth Third Bank,Financials,9790,22.8%,19869,"Cincinnati, Ohio"
326,Hertz Corporation,Auto retailer,9779,2.9%,38000,"Estero, Florida"
327,Altice USA,Telecommunications,9761,2.0%,10700,"New York City, New York"
328,Newmont Corporation,Mining,9740,34.3%,16600,"Greenwood Village, Colorado"
329,Cheniere Energy,Energy,9730,21.8%,1530,"Houston, Texas"
330,Advance Auto Parts,Auto retailer,9709,1.3%,53000,"Raleigh, North Carolina"
331,Lam Research,Semiconductor,9654,12.9%,10700,"Fremont, California"
332,Owens & Minor,Healthcare,9650,1.9%,15400,"Mechanicsville, Virginia"
333,Equitable Holdings,Insurance,9591,20.6%,10100,"New York City, New York"
334,Conagra Brands,Food processing,9538,20.2%,18000,"Chicago, Illinois"
335,Markel Corporation,Insurance,9526,39.2%,18600,"Tysons Corner, Virginia"
336,Edward Jones Investments,Financials,9526,10.8%,49000,"St Louis, Missouri"
337,Hormel,Food processing,9497,0.5%,18800,"Austin, Minnesota"
338,Hilton Worldwide,Hospitality,9452,6.1%,173000,"Tysons Corner, Virginia"
339,Univar Solutions,Chemical industry,9444,9.4%,10300,"Chicago, Illinois"
340,United Rentals,Rental equipment,9351,16.2%,19100,"Stamford, Connecticut"
341,Pioneer Natural Resources,Petroleum industry,9304,1.2%,2323,"Irving, Texas"
342,Delek US,Petroleum industry,9298,9.4%,3707,"Brentwood, Tennessee"
343,Eastman Chemical Company,Chemical industry,9273,8.6%,14500,"Kingsport, Tennessee"
344,Emcor,Engineering,9175,12.8%,36000,"Norwalk, Connecticut"
345,Avis Budget Group,Car rental,9172,0.5%,25600,"Parsippany, New Jersey"
346,J. B. Hunt,Transportation,9165,6.4%,29056,"Lowell, Arkansas"
347,Xerox,Technology,9145,7.0%,27000,"Norwalk, Connecticut"
348,Wayfair,Retail,9127,34.6%,16985,"Boston, Massachusetts"
349,Kohlberg Kravis Roberts,Financials,9120,74.6%,1384,"New York City, New York"
350,AGCO,Agricultural equipment,9041,3.3%,20961,"Duluth, Georgia"
351,Alleghany Corporation,Insurance,9041,31.3%,10786,"New York City, New York"
352,Icahn Enterprises,Conglomerate,8992,52.6%,28033,"New York City, New York"
353,Voya Financial,Financials,8942,0.1%,6000,"New York City, New York"
354,Ryder,Transportation,8926,6.1%,39900,"Miami, Florida"
355,Air Products & Chemicals,Chemical industry,8919,0.1%,17570,"Allentown, Pennsylvania"
356,The Mosaic Company,Fertilizer,8906,7.1%,12600,"Tampa, Florida"
357,Huntington Ingalls Industries,Defense industry,8899,8.8%,42000,"Newport News, Virginia"
